stim,category,angle_psy,radius_psy,angle,radius,trial_type,area
1,Test,-20.84275308,-36.88849953,10,30,standard,3298.6722862692827
7,Test,-6.953638003,-14.02238557,17,57,standard,7959.460607318761
13,Test,9.818056926810664,7.222251006984481,25,85,standard,14681.491501619801
19,Test,26.34861461926153,27.630709460791525,33,113,standard,22859.82512378491
25,Test,38.35549087886737,42.56620206713007,40,140,standard,31799.898971336683
1,Test,-20.84275308,-36.88849953,10,30,standard,3298.6722862692827
7,Test,-6.953638003,-14.02238557,17,57,standard,7959.460607318761
13,Test,9.818056926810664,7.222251006984481,25,85,standard,14681.491501619801
19,Test,26.34861461926153,27.630709460791525,33,113,standard,22859.82512378491
25,Test,38.35549087886737,42.56620206713007,40,140,standard,31799.898971336683
1,Test,-20.84275308,-36.88849953,10,30,standard,3298.6722862692827
7,Test,-6.953638003,-14.02238557,17,57,standard,7959.460607318761
13,Test,9.818056926810664,7.222251006984481,25,85,standard,14681.491501619801
19,Test,26.34861461926153,27.630709460791525,33,113,standard,22859.82512378491
25,Test,38.35549087886737,42.56620206713007,40,140,standard,31799.898971336683
1,Test,-20.84275308,-36.88849953,10,30,standard,3298.6722862692827
7,Test,-6.953638003,-14.02238557,17,57,standard,7959.460607318761
13,Test,9.818056926810664,7.222251006984481,25,85,standard,14681.491501619801
19,Test,26.34861461926153,27.630709460791525,33,113,standard,22859.82512378491
25,Test,38.35549087886737,42.56620206713007,40,140,standard,31799.898971336683
2,A,-24.53495333,-12.0763604,10,57,standard,6783.483937263761
3,A,-26.47077232,11.92758930596587,10,85,standard,12681.998677303796
4,A,-23.83479794,30.479004461502832,10,113,standard,20906.688244401877
5,A,-16.71390068,50.111230393533226,10,140,standard,31040.68074671915
6,B,-3.854444584,-37.8392214,17,30,standard,4618.141200776996
8,A,-8.995342757,8.387433417892344,17,85,standard,13615.095328651263
9,A,-5.541832691,31.078908579096375,17,113,standard,21501.121207692362
10,A,-1.732665378,46.70107673091564,17,140,standard,31217.831665796573
11,B,13.264524555129096,-38.2203846,25,30,standard,6126.105674500097
12,B,9.177647168036223,-16.07892918,25,57,standard,9303.433944524473
14,A,8.045214428,27.52140038259675,25,113,standard,22180.47316573864
15,A,12.129448921922751,51.77476957,25,140,standard,31420.28985902792
16,B,30.19684495481618,-38.42373928,33,30,standard,7634.070148223198
17,B,26.21866752665977,-14.79865055,33,57,standard,10647.407281730188
18,B,26.821232143487904,6.976824754974014,33,85,standard,15747.887674588335
20,A,26.147111754107716,43.96860584938808,33,140,standard,31622.74805225926
21,B,45.13982813678688,-35.30081098,40,30,standard,8953.53906273091
22,B,41.88083319458841,-14.98800492,40,57,standard,11823.383951785187
23,B,38.21996555398914,5.057706707981728,40,85,standard,16680.984325935802
24,B,37.711620004897426,24.312906402878212,40,113,standard,23454.2580870754
1,Test,-20.84275308,-36.88849953,10,30,switch,3298.6722862692827
2,A,-24.53495333,-12.0763604,10,57,switch,6783.483937263761
5,A,-16.71390068,50.111230393533226,10,140,switch,31040.68074671915
6,B,-3.854444584,-37.8392214,17,30,switch,4618.141200776996
7,Test,-6.953638003,-14.02238557,17,57,switch,7959.460607318761
10,A,-1.732665378,46.70107673091564,17,140,switch,31217.831665796573
13,Test,9.818056926810664,7.222251006984481,25,85,switch,14681.491501619801
15,A,12.129448921922751,51.77476957,25,140,switch,31420.28985902792
16,B,30.19684495481618,-38.42373928,33,30,switch,7634.070148223198
17,B,26.21866752665977,-14.79865055,33,57,switch,10647.407281730188
19,Test,26.34861461926153,27.630709460791525,33,113,switch,22859.82512378491
20,A,26.147111754107716,43.96860584938808,33,140,switch,31622.74805225926
21,B,45.13982813678688,-35.30081098,40,30,switch,8953.53906273091
24,B,37.711620004897426,24.312906402878212,40,113,switch,23454.2580870754
25,Test,38.35549087886737,42.56620206713007,40,140,switch,31799.898971336683
